Feature,Bin_0,Bin_1
floating_barrier,9.217871e-07,-8.044749e-07
party,3.27e-42,-4.187e-42
photographer,8.37e-43,-9.32e-43
lighthouse,5.7e-43,-1.967e-42
switchgear,2.76e-43,-2.05e-43
outdoor,0.028581293,-0.036781024
advertising_agency,-0.006279248,0.0039199246
builder,0.028624881,-0.035187416
vacuum_cleaner,-0.010970707,0.014905273
stationery,-0.009618895,0.014806354
traffic_island,-1.847e-42,1.715e-42
atelier,-2.263e-42,2.126e-42
computer,-0.031088734,0.032282595
open_air,2.015e-42,-1.536e-42
silverware,7.03e-43,-1.23e-42
toll_booth,2.007e-42,-3.709e-42
windmill,5.56e-42,-5.368e-42
rental,-2.543e-42,6.94e-43
bus_trap,1.104e-42,-1.177e-42
embassy,-5.9e-44,-8e-43
pottery,0.02880312,-0.033469576
lighting,-0.022937233,0.025075207
fabric,0.043558486,-0.05216255
organization,0.009100442,-0.009411439
miniature_golf,1.63e-42,-1.903e-42
employment_agency,4.442e-42,-4.324e-42
secondary_link,0.03295144,-0.034716252
bird_hide,1.16e-42,-1.822e-42
sewing,0.014147841,-0.014370229
ventilation_shaft,-0.0019214904,0.0023129447
rest_area,-2.943e-42,2.178e-42
fire_extinguisher,-1.093e-42,1.455e-42
motorcycle,-2.85e-42,2.731e-42
tram_level_crossing,1.121e-42,-1.3e-42
copyshop,-0.002776768,0.003090506
ruins,-3.998e-42,3.583e-42
vegetables,-2.34e-43,5.63e-43
perfumery,-1.076e-42,8.53e-43
village_green,5.892e-42,-6.359e-42
slide_gate,9.84e-43,6.1e-43
newspaper,-3.5e-43,7.79e-43
fire_service_inlet,-0.009825005,0.009068534
vintage,-0.010943014,0.010237139
cannabis,-0.044218887,0.04113688
guest_house,-2.357e-42,2.094e-42
hearing_aids,-0.005158878,0.0062692207
pylon,4.76e-43,4.16e-43
research,-1.434e-42,2.494e-42
derail,-0.00025770595,0.00027419132
political_party,-0.020373998,0.02423322
owner_change,7.57e-43,-1.055e-42
trunk_link,4.95e-43,-1.65e-43
tomb,-0.062389616,0.060821213
tour,-0.10733277,0.09775182
makeup,2.424e-42,-1.97e-42
appliance,7.75e-43,-1.115e-42
coffee_roaster,0.019677063,-0.020797594
tech_cab,6.75e-43,-2.913e-42
adult_gaming_centre,-0.0801083,0.08891866
curtain,-0.030450508,0.034704525
rock,-1.023e-42,-8.11e-43
repair,-0.030450337,0.034704544
yarn,3.6e-44,-3.4e-44
printing,-0.0011010855,0.0009317329
upholsterer,2.553e-42,-1.386e-42
tanning_salon,-0.029209958,0.03181655
street_lighting,-4.193e-42,4.22e-42
fireplace,-6.547e-42,6.295e-42
stop,-3.718e-42,3.395e-42
gatehouse,-2.117e-42,5.24e-43
keysafe,-8e-45,-1.16e-43
stands,6.33e-43,2.1e-43
pillar,5.384e-42,-4.593e-42
beekeeper,-1.247e-42,2.77e-43
doors,1.532e-42,-3.18e-43
siren,-2.585e-42,3.094e-42
pet_grooming,-0.0056185666,0.005748255
debris,1.981e-42,6.9e-44
food_sharing,-5.24e-43,2.094e-42
nutrition_supplements,-0.00065363955,0.0007530443
erotic,0.038394302,-0.04514746
auction,-4.54e-43,1.505e-42
audio_video,1.452e-42,-2.577e-42
door,3.592e-42,-3.268e-42
harbour,3.684e-42,-4.411e-42
railing,1.382e-42,-1.843e-42
city,4.86e-43,-4.137e-42
jersey_barrier,3.816e-42,-5.094e-42
plot,7.61e-43,-2.651e-42
shelter,-1.724e-42,2.814e-42
electrical_vehicle_power,2.272e-42,-1.223e-42
union,-0.0018902596,0.0016791327
video,-1.143e-42,-1e-43
data_center,8.76e-43,-1.97e-42
saddler,-1.015e-42,5.83e-43
wire_fence,1.164e-42,-1.188e-42
coffee_roasting,1.481e-42,-2.283e-42
signmaker,0.047424797,-0.05262727
animal_keeping,1.413e-42,-2.113e-42
administration,2.637e-42,-5.35e-42
birthing_centre,1.71e-42,-1.375e-42
foundation,4.385e-42,-3.947e-42
kiosk;confectionery,-0.002272835,0.0024540825
tower,5.04e-43,-7.7e-44
hemp,0.009963323,-0.011162063
design,-3.331e-42,4.11e-42
hill,-9.7e-43,2.319e-42
marine_rescue,2.686e-42,-4.229e-42
cleaning,-1.152e-42,7.4e-43
auction_house,-2.83e-42,4.125e-42
shrub,0.020398732,-0.02293471
boxmaker,2.231e-42,-3.369e-42
tram_crossing,-2.93e-43,1.127e-42
temple,-2.01e-42,-1.93e-43
anchor,1.216e-42,-2.217e-42
peninsula,-2.939e-42,4.921e-42
cave_entrance,1.682e-42,6.73e-43
showroom,-2.895e-42,3.572e-42
ceramics,-3.835e-42,3.659e-42
bijouterie,-3.45e-43,4.99e-43
grandstand,-5.542e-42,5.762e-42
HV monitoring,-1.024e-42,-1.96e-43
kissing_gate,-3.458e-42,2.043e-42
property_management,2.97e-42,-5.345e-42
collector,5.497e-42,-5.698e-42
outlet,0.0016061028,-0.0016765207
weir,-2.2e-44,-9.88e-43
ship,8.27e-43,-4.83e-43
hv_monitoring,8.25e-43,-2.21e-42
signal_hut,-2.493e-42,3.471e-42
newsagent,-1.846e-42,-1.42e-43
dressmaker,-5.527e-42,3.579e-42
painter_industrial,3.569e-42,-3.75e-42
playground;pitch,-5.27e-43,-6.11e-43
winery,0.017853217,-0.017226135
trophy,1.768e-42,-1.086e-42
border_control,2.215e-42,-6.43e-43
flooring,2.08e-42,-3.245e-42
boatyard,-2.779e-42,1.829e-42
recruitment,-1.005e-42,1.606e-42
coffee;tea,5.066e-42,-3.28e-42
fallen_tree,1.2e-43,-2.032e-42
tableware,3.07e-43,-1.644e-42
conservatory,-0.0001373645,0.00012233354
turntable,-3.68e-42,1.481e-42
psychotherapist,-1.854e-42,2.625e-42
mosque,2.899e-42,-3.945e-42
childcare,-0.0048600114,0.005165384
muffe,1.289e-42,-2.775e-42
cable_joint,4.212e-42,-4.644e-42
battlefield,-3.754e-42,2.433e-42
bookmaker,0.0023677938,-0.0024240643
food,1.761e-42,-3.187e-42
education,1.7e-44,1.5e-44
camera,1.366e-42,9.12e-43
ceramic_painting,5.97e-43,-8.76e-43
medical_supply,-0.030619374,0.032098196
video_games,-0.010582607,0.011114193
orchard,-1.18e-43,8.48e-43
ged,-9.1e-43,2.09e-42
skyscraper,-1.18e-43,1.002e-42
gas,1.162e-42,1.86e-43
fortress,1.662e-42,-6.52e-43
bandstand,-7.09e-43,-9.85e-43
rescue_equipment,-3.01e-43,-2.365e-42
guide,1.263e-42,-6.91e-43
waterfall,1.008e-42,-1.068e-42
barrier_board,-3.572e-42,3.465e-42
stonemason,-1.22e-43,-1.4e-44
weights,1.062e-42,-1.3e-44
wayside_cross,5.2e-44,3.11e-43
landfill,-7.03e-43,8.14e-43
hookah,9.4e-43,2.9e-43
signs,-0.0036180862,0.003320397
babycart,2.986e-42,-4.01e-42
